Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22
FALSE,3.8mi Easy,Running,--,3/19/2015 6:15,0:43:01,3.76,3,11:26,7:26,161,179,536,11.44,"6,925.68",0.0774,125,Nimbus 16,--,--,#VALUE!,#VALUE!
FALSE,3.5mi Easy,Running,--,3/15/2015 8:01,0:39:22,3.46,13,11:22,8:38,164,175,490,11.38,"6,456.13",0.0759,124,Nimbus 16,--,--,#VALUE!,#VALUE!
FALSE,2.8mi easy with office team,Running,--,3/11/2015 17:38,0:32:14,2.79,8,11:33,6:07,161,177,401,11.55,"5,189.57",0.0773,124,Nimbus 16,--,--,#VALUE!,#VALUE!
FALSE,Piscataway Running,Running,--,12/4/2014 17:48,0:28:08,2.23,10,12:36,9:12,147,166,310,12.62,"4,135.60",0.075,110,Nimbus 16,--,--,#VALUE!,#VALUE!
FALSE,Piscataway Running,Running,--,10/23/2014 17:40,0:39:58,3.34,34,11:58,7:48,144,170,376,11.97,"5,755.20",0.0653,94,Nimbus 16,--,--,#VALUE!,#VALUE!
FALSE,Untitled,Running,--,10/10/2014 6:16,0:39:47,4.02,23,9:54,4:32,--,--,610,9.9,#VALUE!,#VALUE!,153,Nimbus 16,--,--,#VALUE!,#VALUE!
FALSE,Untitled,Running,--,10/7/2014 6:17,0:41:29,4.13,20,10:03,6:07,--,--,628,10.04,#VALUE!,#VALUE!,151,Nimbus 16,--,--,#VALUE!,#VALUE!
FALSE,3.4mi Easy,Running,--,10/5/2014 7:30,0:33:07,3.44,13,9:37,4:20,--,--,524,9.63,#VALUE!,#VALUE!,158,Nimbus 16,--,--,#VALUE!,#VALUE!
FALSE,3.3mi Easy w/ Office Team,Running,--,10/1/2014 17:35,0:37:50,3.34,26,11:19,6:29,143,175,394,11.33,"5,410.17",0.0728,104,Nimbus 16,--,--,#VALUE!,#VALUE!
FALSE,3.1mi Easy,Street Running,--,9/30/2014 6:16,0:31:21,3.14,16,9:58,7:46,155,177,376,9.98,"4,859.25",0.0774,120,Nimbus 16,--,--,#VALUE!,#VALUE!
FALSE,3.3mi Easy w/ Office Team,Street Running,Piscataway Green Acres Path,9/25/2014 17:55,0:36:56,3.34,23,11:04,6:22,146,181,304,11.06,"5,392.27",0.0564,82,Nimbus 16,--,--,#VALUE!,#VALUE!
FALSE,3.2mi Easy,Street Running,--,9/24/2014 6:13,0:32:08,3.16,33,10:10,6:16,155,173,374,10.17,"4,980.67",0.0751,116,Nimbus 16,--,--,#VALUE!,#VALUE!
FALSE,4mi Easy,Street Running,"5k Sherman, Foster, McDonnough, Grant",9/22/2014 6:16,0:41:34,4.13,20,10:03,7:25,158,193,457,10.06,"6,567.53",0.0696,110,Nimbus 16,--,--,#VALUE!,#VALUE!
FALSE,3.5mi Easy,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,9/19/2014 6:14,0:35:04,3.46,13,10:07,6:35,159,204,337,10.13,"5,575.60",0.0604,96,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.4mi Easy w/ Office Team,Street Running,Piscataway Green Acres Path,9/17/2014 17:44,0:37:28,3.37,23,11:08,6:22,148,185,389,11.12,"5,545.07",0.0702,104,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.4mi Easy,Street Running,--,9/5/2014 6:28,0:36:44,3.39,13,10:50,7:23,148,177,392,10.84,"5,436.53",0.0721,107,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.3mi Easy w/ Office Team,Street Running,Piscataway Green Acres Path,9/3/2014 17:39,0:37:30,3.33,26,11:16,7:07,145,175,364,11.26,"5,437.50",0.0669,97,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.5mi v. Easy,Street Running,3.34m Sherman/Tompkins/Plainfield/Sampton/Clinton,8/27/2014 6:16,0:36:51,3.49,13,10:34,7:27,141,161,383,10.56,"5,195.85",0.0737,104,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,4.1mi v. Easy,Street Running,--,8/21/2014 6:09,0:43:42,4.13,21,10:35,8:01,142,160,403,10.58,"6,205.40",0.0649,92,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,6.2mi Easy,Street Running,--,8/17/2014 7:23,1:01:09,6.2,49,9:52,6:21,157,183,700,9.86,"9,600.55",0.0729,114,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.5mi Easy,Street Running,3.34m Sherman/Tompkins/Plainfield/Sampton/Clinton,8/15/2014 6:16,0:34:56,3.48,13,10:02,6:04,152,182,341,10.04,"5,309.87",0.0642,98,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,"3,4mi Jog w/ Office Team",Running,--,8/13/2014 17:48,0:41:06,3.4,30,12:06,4:18,135,168,384,12.09,"5,548.50",0.0692,93,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.5mi Recovery,Street Running,--,8/12/2014 6:13,0:37:23,3.49,13,10:42,6:15,148,185,445,10.71,"5,532.73",0.0804,119,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,13.5mi Biking with Kevin,Track Cycling,--,8/10/2014 7:07,1:33:42,13.57,38,8.7,41.1,117,136,724,6.9,"10,962.90",0.066,77,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,14mi Long,Street Running,15.2mi Scotch Plainst and back,8/9/2014 6:16,2:29:32,14,298,10:41,7:13,156,174,"1,678",10.68,"23,327.20",0.0719,112,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,10mi Easy Biking,Track Cycling,--,8/8/2014 12:27,1:01:02,7.57,6,7.4,14.3,--,--,115,8.06,#VALUE!,#VALUE!,19,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.4mi Easy w/ Office Team,Running,Piscataway Green Acres Path,8/6/2014 17:45,0:34:00,3.4,--,10:00,--,--,--,--,10,#VALUE!,#VALUE!,#VALUE!,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3mi Easy,Street Running,--,8/5/2014 6:14,0:34:37,3.17,13,10:40,8:35,144,162,349,10.92,"4,984.80",0.07,101,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,6.1mi Long(er),Street Running,6.1m 8th/Kenyon/SpringLake/Clinton,8/3/2014 9:07,1:00:25,6.16,434,9:48,6:52,164,185,741,9.81,"9,908.33",0.0748,123,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.3mi Easy,Street Running,3.34m Sherman/Tompkins/Plainfield/Sampton/Clinton,8/1/2014 6:16,0:36:02,3.5,13,10:18,6:50,152,190,--,10.3,"5,477.07",#VALUE!,#VALUE!,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.3mi w/ Office Team,Running,Piscataway Green Acres Path,7/30/2014 17:42,0:35:55,3.32,23,10:50,7:23,150,175,416,10.82,"5,387.50",0.0772,116,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,4mi Easy,Street Running,"5k Sherman, Foster, McDonnough, Grant",7/30/2014 7:50,0:40:00,4,--,10:00,--,--,--,--,10,#VALUE!,#VALUE!,#VALUE!,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.3mi Recovery,Street Running,3.34m Sherman/Tompkins/Plainfield/Sampton/Clinton,7/28/2014 6:27,0:34:43,3.32,10,10:27,7:23,161,196,306,10.46,"5,589.38",0.0547,88,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,10mi Long,Street Running,13mi Sleepy Hollow and back,7/26/2014 6:51,1:48:47,10.22,204,10:39,6:52,158,179,"1,232",10.64,"17,187.77",0.0717,113,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,"5k Race Westfield, NJ",Running,--,7/23/2014 19:03,0:31:28,3.17,70,9:57,6:06,174,191,350,9.93,"5,475.20",0.0639,111,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,4.2mi Easy,Street Running,"5k Sherman, Foster, McDonnough, Grant",7/21/2014 6:27,0:42:37,4.22,30,10:06,6:37,160,191,503,10.1,"6,818.67",0.0738,118,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.4mi Easy,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,7/19/2014 6:22,0:37:00,3.41,13,10:50,7:00,149,169,399,10.85,"5,513.00",0.0724,108,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3mi Easy w/ Office Team,Running,Piscataway Green Acres Path,7/16/2014 17:47,0:38:13,3.38,25,11:18,7:22,145,171,414,11.31,"5,541.42",0.0747,108,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,Untitled,Running,--,7/16/2014 6:55,0:04:21,0.46,--,9:33,8:03,167,177,52,9.46,726.45,0.0716,120,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3mi Easy,Running,--,7/16/2014 6:28,0:30:16,3.04,30,10:00,6:00,158,185,294,9.96,"4,782.13",0.0615,97,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.3mi Easy,Running,"5k Sherman, Foster, McDonnough, Grant",7/14/2014 6:35,0:34:35,3.32,3,10:25,7:12,157,174,422,10.42,"5,429.58",0.0777,122,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.5mi Easy,Street Running,3.34m Sherman/Tompkins/Plainfield/Sampton/Clinton,7/12/2014 6:37,0:36:57,3.51,13,10:31,5:06,153,171,434,10.53,"5,653.35",0.0768,117,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3mi Easy w/ Office Team,Running,Piscataway Green Acres Path,6/18/2014 17:43,0:37:23,3.32,30,11:16,6:18,159,187,378,11.26,"5,943.95",0.0636,101,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,4.2mi Easy & Slow,Running,--,6/17/2014 6:26,0:43:31,4.18,20,10:25,7:17,153,175,463,10.41,"6,658.05",0.0695,106,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,6.2mi Easy,Street Running,6.1m 8th/Kenyon/SpringLake/Clinton,6/15/2014 7:39,1:01:25,6.2,53,9:55,7:16,158,183,731,9.91,"9,703.83",0.0753,119,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3mi Easy w/ Office Team,Running,Piscataway Green Acres Path,6/12/2014 17:46,0:37:35,3.33,26,11:18,7:26,146,173,416,11.29,"5,487.17",0.0758,111,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3mi Easy,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,6/11/2014 6:06,0:36:16,3.49,13,10:24,6:18,154,199,390,10.39,"5,585.07",0.0698,108,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,5k Race GW Bridge,Running,--,6/8/2014 8:26,0:27:36,2.66,328,10:23,5:11,173,183,378,10.38,"4,774.80",0.0792,137,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3mi Easy w/ Office Team,Running,Piscataway Green Acres Path,5/29/2014 17:47,0:38:04,3.31,24,11:29,8:00,141,165,367,11.5,"5,367.40",0.0684,96,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,5k Test run,Street Running,--,5/28/2014 8:08,0:28:28,3.08,14,9:15,6:17,164,179,360,9.24,"4,668.53",0.0771,126,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,1mi Warmup for 5k,Street Running,--,5/28/2014 7:54,0:10:32,1,--,10:35,8:51,142,153,116,10.53,"1,495.73",0.0776,110,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.2mi Very Easy,Street Running,3.34m Sherman/Tompkins/Plainfield/Sampton/Clinton,5/26/2014 7:39,0:35:12,3.26,10,10:47,6:23,144,166,352,10.8,"5,068.80",0.0694,100,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,6.3mi Intervals,Street Running,"5k Sherman, Foster, McDonnough, Grant",5/24/2014 7:23,1:04:59,6.31,30,10:18,6:02,151,170,718,10.3,"9,812.48",0.0732,110,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.4mi Easy w/ Office Team,Running,Piscataway Green Acres Path,5/22/2014 17:51,0:39:28,3.37,20,11:44,4:12,139,181,381,11.71,"5,485.87",0.0695,97,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.5mi Easy,Street Running,3.34m Sherman/Tompkins/Plainfield/Sampton/Clinton,5/20/2014 6:22,9:17:00,3.49,14,9:32,6:28,155,171,386,159.6,"86,335.00",0.0045,2,Dyad 7,--,--,#VALUE!,#VALUE!
